z,a1,a2,a3,R2,,
1,0.047982133,0.691880705,2.238642389,0.99,,
2,0.107417393,0.675949755,4.312357789,0.99,,
3,0.140243972,0.659953864,4.814931496,0.99,,
4,0.154706411,0.643613157,4.514027117,0.99,,
5,0.169836414,0.626296457,4.128023198,0.99,,
6,0.182339125,0.607519221,3.591093182,0.99,,
7,0.2128311,0.588115345,3.324194141,0.99,,
8,0.254511573,0.566099072,2.980792844,0.99,,
9,0.328662042,0.541807911,2.694584435,0.99,,
10,0.391679834,0.515722504,2.045656896,0.99,,
11,0.516585414,0.487557871,1.453406302,0.99,,
12,0.649524818,0.457794714,0.618606405,0.99,,
13,0.887895087,0.42549067,-0.380992808,0.99,,
14,1.169847578,0.391521387,-1.589755847,0.99,,
15,1.678263885,0.356046899,-3.219101428,0.99,,
16,2.311611291,0.319734571,-5.060422121,0.99,,
17,3.459415953,0.283349367,-7.809427731,0.99,,
18,1.811600153,-118.0990669,-0.383767058,0.99,,
19,1.574631347,-112.1237769,-0.380503212,0.99,,
20,1.490720306,-113.1495464,-0.379287354,0.99,,
21,1.730385362,-137.6476826,-0.380028788,0.99,,
22,1.693677914,-139.4621121,-0.382729156,0.99,,
23,1.609794081,-136.0722611,-0.387072792,0.99,,
24,1.343487457,-115.7621775,-0.393031477,0.99,,
25,6.193325408,-25.56099856,0,0.99,,
26,6.092484325,-25.37519106,0,0.99,,
27,6.212950341,-26.08800782,0,0.99,,
28,5.967735793,-25.23852347,0,0.99,,
29,6.221009762,-26.47617078,0,0.99,,
30,6.153516967,-26.33596062,0,0.99,,
31,18.56885834,-61.7727386,0.032894618,0.99,,
32,18.93370445,-63.71255532,0.032509212,0.99,,
33,19.52964559,-65.39357748,0.032338152,0.99,,
34,19.78025552,-66.82670972,0.031391576,0.99,,
35,20.89066567,-68.08435117,0.031659654,0.99,,
36,21.31882827,-69.18062169,0.030722487,0.99,,
37,22.40184059,-70.12781485,0.030574003,0.99,,
38,0.032639833,70.38184037,0,0.99,,
39,0.032978505,71.87172437,0,0.99,,
40,0.032987323,73.29729606,0,0.99,,
41,0.033274783,74.66571723,0,0.99,,
42,0.033156725,75.95680373,0,0.99,,
43,0.033498438,77.14694413,0,0.99,,
44,0.033463651,78.32044873,0,0.99,,
45,0.03394667,79.41910696,0,0.99,,
46,0.033951118,80.44364853,0,0.99,,
47,0.034696585,81.40116887,0,0.99,,
48,0.034524875,82.30172968,0,0.99,,
49,0.035097168,83.13244901,0,0.99,,
50,0.035272992,83.9179358,0,0.99,,
51,0.03576196,84.66396712,0,0.99,,
52,0.03551763,85.34487783,0,0.99,,
53,0.037207366,85.97954602,0,0.99,,
54,0.032041976,617.7813857,49.22748896,0.99,,
55,0.032019671,635.1278833,51.39232487,0.99,,
56,0.031331572,652.6734257,53.55877374,0.99,,
57,0.031304709,670.5121502,55.78969637,0.99,,
58,0.031365126,688.2940231,57.98635875,0.99,,
59,0.031519361,706.0690577,60.15710402,0.99,,
60,0.031105876,724.1812004,62.39615659,0.99,,
61,0.031288212,741.8352231,64.52776888,0.99,,
62,0.030410891,761.1527955,66.9717186,0.99,,
63,0.030372116,779.714674,69.25858815,0.99,,
64,0.029640817,797.9524402,71.47529294,0.99,,
65,0.031851468,764.2240955,65.18876528,0.99,,
66,0.029222453,835.0629074,75.97697363,0.99,,
67,0.029080578,853.1970231,78.16935319,0.99,,
68,0.02896267,871.5703149,80.41411764,0.99,,
69,0.028967228,889.7701888,82.63623339,0.99,,
70,0.02851036,909.3495477,85.04985456,0.99,,
71,0.028513641,926.8472331,87.15248501,0.99,,
72,0.028237927,944.691998,89.25517707,0.99,,
73,0.028135062,962.7155098,91.38418623,0.99,,
74,0.02802228,979.7013946,93.41044484,0.061924409,1948.872806,871.2711152
75,0.027968588,997.5681001,95.58897349,0.0647,-2518.15,0
76,0.027644685,1016.367849,97.91191673,0.059823796,-1300.6,-2001.39
77,0.027689435,1033.327755,99.98139631,0.0655,-2543.64,0
78,0.027529665,1052.678683,102.4019896,0.149450471,-45961.29869,31042.4
79,0.027518799,1071.799784,104.7829102,0.1393,-38908.7,27528.4
80,0.027314097,1089.902316,107.0293928,0.149044034,-44254.39977,30098.09354
81,0.027124142,1107.29854,109.1712818,0.152653731,-46151.21776,30960.06472
82,0.027175582,1121.540458,110.8390996,0.139312731,-37867.6179,26859.69928
83,0.070178934,694.4419327,57.93637175,,,
84,0.0280786,1141.634054,112.8605604,0.146914268,-39418.0386,27526.69626
85,0.028176404,1162.24716,115.633854,0.158465801,-44507.2683,29969.17232
86,0.027217114,1171.463109,116.5298929,0.156584219,-46603.56597,30923.56075
87,0.03805625,1226.870607,216.8735518,,,
88,0.000620951,10347.44922,1164.757799,0.809160586,-422435.6875,144685.3963
89,0.027320592,1208.664388,121.4568448,0.158296108,-45687.89146,30397.75824
90,0.0307522,1090.554678,102.7831833,0.156544195,-45193.46747,30196.40694
91,0.030514772,1073.907484,100.5316963,0.156584219,-46603.56597,30923.56075
92,0.03485814,1028.438876,84.18267999,0.162357932,-45986.6426,30428.38629
